Name,DisseminationURL
PT-TT-SNI-DSC-24-203_m0001.TIF,vault://DISSEMINATION/348099D2E6EA2A52CBC48CD096DA6316
PT-TT-SNI-DSC-24-203_m0002.TIF,vault://DISSEMINATION/7EBC8622AD022C2FC6F534453A2CC3F5
PT-TT-SNI-DSC-24-203_m0003.TIF,vault://DISSEMINATION/D1768395C2B792AF7CD428DDD6B9235E
PT-TT-SNI-DSC-24-203_m0004.TIF,vault://DISSEMINATION/1926C5986293553CDDC2171544BBE007
PT-TT-SNI-DSC-24-203_m0005.TIF,vault://DISSEMINATION/A98A19568E9E12299023A2D24FF2D13D
PT-TT-SNI-DSC-24-203_m0006.TIF,vault://DISSEMINATION/0E368559237CCD4C945E1D299041CD12
PT-TT-SNI-DSC-24-203_m0007.TIF,vault://DISSEMINATION/616985090A32469140B11F0B68972CC9
PT-TT-SNI-DSC-24-203_m0008.TIF,vault://DISSEMINATION/94B6D554EF8FACBACF6E1F7D3E7ABF02
PT-TT-SNI-DSC-24-203_m0009.TIF,vault://DISSEMINATION/A1E904FCFC7D872116F601A9B5C59C5F
PT-TT-SNI-DSC-24-203_m0010.TIF,vault://DISSEMINATION/40FA7389368D1B61591EBE83F7D1DB2C
PT-TT-SNI-DSC-24-203_m0011.TIF,vault://DISSEMINATION/B4E0BE910315CD57D0065CC1A1051A3A
PT-TT-SNI-DSC-24-203_m0012.TIF,vault://DISSEMINATION/2C983BB6AE2CD1BD2E51E8B7D1934E5D
PT-TT-SNI-DSC-24-203_m0013.TIF,vault://DISSEMINATION/BB1176B1B3CCA6BEA78CD4797EBA050C
PT-TT-SNI-DSC-24-203_m0014.TIF,vault://DISSEMINATION/EEDC915A9E59840637B7A473DB537AD4
PT-TT-SNI-DSC-24-203_m0015.TIF,vault://DISSEMINATION/DCEC1637E37B7416936727AFAE1BE49F
PT-TT-SNI-DSC-24-203_m0016.TIF,vault://DISSEMINATION/F89B2A9C1A45E9E5CB0007D40F770869
PT-TT-SNI-DSC-24-203_m0017.TIF,vault://DISSEMINATION/780EC014B3F2461F20E9D8AA18613EA1
PT-TT-SNI-DSC-24-210_m0001.TIF,vault://DISSEMINATION/E6A1588DD71EDD9BF9F37C4F6683F39A
PT-TT-SNI-DSC-24-210_m0002.TIF,vault://DISSEMINATION/EF0414F2C76BA68BCCCA1AC29970B811
PT-TT-SNI-DSC-24-210_m0003.TIF,vault://DISSEMINATION/1DDE986D84581A73A041F873F0C4D316
PT-TT-SNI-DSC-24-210_m0004.TIF,vault://DISSEMINATION/96E66FEE3EF38A9F9F20EC7569B2710C
PT-TT-SNI-DSC-24-210_m0005.TIF,vault://DISSEMINATION/A093F1E7370AD965A8D68D6F98F371AE
PT-TT-SNI-DSC-24-210_m0006.TIF,vault://DISSEMINATION/12BB62C566FD71D439B325C56BD0D65C
PT-TT-SNI-DSC-24-210_m0007.TIF,vault://DISSEMINATION/F8153C5EE573C8DF8BD690557250DE40
PT-TT-SNI-DSC-24-210_m0008.TIF,vault://DISSEMINATION/4715DC66ACC44A3ACCA194FD8AB66543
PT-TT-SNI-DSC-24-319_m0001.TIF,vault://DISSEMINATION/CB2DCD1263F82DC8F66A5B138AE4A215
PT-TT-SNI-DSC-24-319_m0002.TIF,vault://DISSEMINATION/82C55E6265C8ED01637415827E1C3BB2
PT-TT-SNI-DSC-24-319_m0003.TIF,vault://DISSEMINATION/1B3B6D80F22DC937D84E2A6C92B2B872
PT-TT-SNI-DSC-24-319_m0004.TIF,vault://DISSEMINATION/96B1EB7F0B7EE32DCAB0F61451CFEE0E
PT-TT-SNI-DSC-24-319_m0005.TIF,vault://DISSEMINATION/EE8F726C8FF0C0FFC85997098EA80264
PT-TT-SNI-DSC-24-319_m0006.TIF,vault://DISSEMINATION/F7D01136CCEA384F01167E87DE488007
PT-TT-SNI-DSC-24-319_m0007.TIF,vault://DISSEMINATION/85C0516EA3A705441A9145AAC27150ED
PT-TT-SNI-DSC-24-319_m0008.TIF,vault://DISSEMINATION/8EA2E953898FA3AC342105AC33C7534A
PT-TT-SNI-DSC-24-319_m0009.TIF,vault://DISSEMINATION/EFB687276C06DF21C5AFDA8DD0A115C2
PT-TT-SNI-DSC-24-319_m0010.TIF,vault://DISSEMINATION/D89C28E62D2DF78BCDC5214BEA9D1418
PT-TT-SNI-DSC-24-319_m0011.TIF,vault://DISSEMINATION/03F7D3A14DA87E60A58BE17E90424F4B
PT-TT-SNI-DSC-24-319_m0012.TIF,vault://DISSEMINATION/1250A97E599E138346889C8FB913214C
PT-TT-SNI-DSC-24-319_m0013.TIF,vault://DISSEMINATION/7996C898D980C193B898096896227F4C
PT-TT-SNI-DSC-24-319_m0014.TIF,vault://DISSEMINATION/E668E3B9E835A95EB7C94F897558D730
PT-TT-SNI-DSC-24-319_m0015.TIF,vault://DISSEMINATION/7785F9589D1F2E798CDB197F4AB285E3
PT-TT-SNI-DSC-24-319_m0016.TIF,vault://DISSEMINATION/1695635117F25CDE23010BC3413B150F
