Name,DisseminationURL
PT-TT-SNI-DSC-9-494_m0001.TIF,vault://41E9BE1AFF0F149732BB578A5471C984
PT-TT-SNI-DSC-9-494_m0002.TIF,vault://3696FD4857DBD30F24FE3531B5746E14
PT-TT-SNI-DSC-9-494_m0003.TIF,vault://CF0F0BCE89D21DFB884C41DD8A479042
PT-TT-SNI-DSC-9-494_m0004.TIF,vault://A2A3A00F97DF901D2457D0112185EE47
PT-TT-SNI-DSC-9-494_m0005.TIF,vault://5B6F0CAE867ED86C5A8E5856946587C6
PT-TT-SNI-DSC-9-420_m0001.TIF,vault://DISSEMINATION/0032366477834B3F3B496D331B5BDED1
PT-TT-SNI-DSC-9-420_m0002.TIF,vault://DISSEMINATION/175A2EC1566B89E02FC6D563794B6DE8
PT-TT-SNI-DSC-9-420_m0003.TIF,vault://DISSEMINATION/D507F07D56F71A607FF4BEC7794CA044
PT-TT-SNI-DSC-9-420_m0004.TIF,vault://DISSEMINATION/2614EB835FF48F3364D065EDF6350FA3
PT-TT-SNI-DSC-9-420_m0005.TIF,vault://DISSEMINATION/B79705EBB7E658687F69E89207521F32
PT-TT-SNI-DSC-9-420_m0006.TIF,vault://DISSEMINATION/B8B6D98A330B53667FB3DFEA9414F8C1
PT-TT-SNI-DSC-9-420_m0007.TIF,vault://DISSEMINATION/6A6620231ACF42F3266931E8F2B76ED3
PT-TT-SNI-DSC-9-420_m0008.TIF,vault://DISSEMINATION/234D9A94DC17AD97495013300D89CF7E
PT-TT-SNI-DSC-9-420_m0009.TIF,vault://DISSEMINATION/77FDEA96F8A02CBE3F1E180D165C2C9A
PT-TT-SNI-DSC-9-420_m0010.TIF,vault://DISSEMINATION/6D678CDA71B7CCFE5F525ED660060058
PT-TT-SNI-DSC-9-420_m0011.TIF,vault://DISSEMINATION/F908D2B8B67894DF80C0A0D88644321B
PT-TT-SNI-DSC-9-420_m0012.TIF,vault://DISSEMINATION/613A54CA6C3C14E976F5E12C34E8C319
PT-TT-SNI-DSC-9-420_m0013.TIF,vault://DISSEMINATION/719B886DAABA95E75E4E267A170CC3D9
PT-TT-SNI-DSC-9-420_m0014.TIF,vault://DISSEMINATION/CD44E723D72CD91F28B17C69CC69EE65
PT-TT-SNI-DSC-9-420_m0015.TIF,vault://DISSEMINATION/F1775707A33C32DB4B76802FF6D2EEE9
PT-TT-SNI-DSC-9-420_m0016.TIF,vault://DISSEMINATION/DFCBD469B0A1DA1971763EAFC844829A
PT-TT-SNI-DSC-9-420_m0017.TIF,vault://DISSEMINATION/5C5599EFB2C489C1387E5634911DCF58
PT-TT-SNI-DSC-9-420_m0018.TIF,vault://DISSEMINATION/3346F4CD2E234ED16C00CEE962651378
PT-TT-SNI-DSC-9-420_m0019.TIF,vault://DISSEMINATION/7982864345453EABCDE39A54B89ACD4B
PT-TT-SNI-DSC-9-420_m0020.TIF,vault://DISSEMINATION/284AC0B5FC63EB79B7EFC409080377F4
PT-TT-SNI-DSC-9-420_m0021.TIF,vault://DISSEMINATION/14D15D293C8980DBF8A632D66E6A2BDC
PT-TT-SNI-DSC-9-420_m0022.TIF,vault://DISSEMINATION/5F328BDC0DCE98D6EAF375636E338D11
PT-TT-SNI-DSC-9-420_m0023.TIF,vault://DISSEMINATION/B10631FBB03FC8A72681AEE224D6A518
PT-TT-SNI-DSC-9-420_m0024.TIF,vault://DISSEMINATION/7A659F80D0AA0FC233C11BE2FFFD9DED
