Name,DisseminationURL
PT-PNA-DGFP-0001-002-0007-00027-00002_m0001.TIF,vault://174ACAE8EA45B5F7883235F45C19AF70
PT-PNA-DGFP-0001-002-0007-00027-00002_m0002.TIF,vault://25FBC232AA7CB41E994185CE40C4E031
PT-PNA-DGFP-0001-002-0014-00048_m0001.TIF,vault://858560F0144E9446A3CA3091DB561542
PT-PNA-DGFP-0001-002-0014-00048_m0002.TIF,vault://5B0E63B7D83237B55E01C8B59FD78D4C
PT-PNA-DGFP-0001-002-0014-00049_m0001.TIF,vault://2ADA228571A7551C410500A0E6926E98
PT-PNA-DGFP-0001-002-0014-00049_m0002.TIF,vault://B0EB9CA63AACB7D560FA20CDE0F5AD6E
PT-PNA-DGFP-0001-002-0014-00049_m0003.TIF,vault://5C136FA232A3CCCBA04834304E2B4CC7
PT-PNA-DGFP-0001-002-0014-00050_m0001.TIF,vault://A770832B1E81688F2D5E67E9EB5D88B3
PT-PNA-DGFP-0001-002-0014-00050_m0002.TIF,vault://E9AC01EF92A202A1393A2E1644A31F5A
PT-PNA-DGFP-0001-002-0014-00050_m0003.TIF,vault://591395027D741080B33207772EBCF3F9
PT-PNA-DGFP-0001-002-0014-00016-00001_m0001.TIF,vault://3FD7A94FC2B22026F4F7CB37B41234BA
PT-PNA-DGFP-0001-002-0014-00016-00001_m0002.TIF,vault://2F83A8834DBB4D185BFF94CE4F970FD8
PT-PNA-DGFP-0001-002-0014-00016-00003_m0001.TIF,vault://EDB83022CFD4E6CEB8142CA41D93E485
PT-PNA-DGFP-0001-002-0014-00016-00003_m0002.TIF,vault://2F9DDEFE821BD98A9CB64F5BDFB393CE
PT-PNA-DGFP-0001-002-0014-00028-00001_m0001.TIF,vault://A4A0CAE2C8AFC8E76A18388185707944
PT-PNA-DGFP-0001-002-0014-00028-00001_m0002.TIF,vault://EB32A88F5DDA3413E82209F477C8FBBE
PT-PNA-DGFP-0001-002-0014-00029-00001_m0001.TIF,vault://F1DE5927AF7A1BCFE45BEEF07111100A
PT-PNA-DGFP-0001-002-0014-00029-00001_m0002.TIF,vault://830BFFED1A0CBF02B77616C691E34387
