Name,DisseminationURL
PT-TT-SNI-DSC-19-13_10_m0011.tiff,vault://9ADDBAC072BB4BC6ED4A24C2949AC612
PT-TT-SNI-DSC-19-13_11_m0012.tiff,vault://A7787FF0272D371458D4657034758888
PT-TT-SNI-DSC-19-13_12_m0013.tiff,vault://ACD47ECB0A92935FB6EA839908CB168D
PT-TT-SNI-DSC-19-13_13_m0014.tiff,vault://2DF68E9172CC13D3F3B8465BDB93BBE1
PT-TT-SNI-DSC-19-13_14_m0015.tiff,vault://B1E5FEFF14A52DE33F8F3DE8F53EB04D
PT-TT-SNI-DSC-19-13_15_m0016.tiff,vault://B70717FA20938DDC16284B04DC4F4D7D
PT-TT-SNI-DSC-19-13_16_m0017.tiff,vault://BA99916C8FA0E7C242E618BC9DCF9A9E
PT-TT-SNI-DSC-19-13_17_m0018.tiff,vault://CA255263EAD98B8028BC6DD03BF2190B
PT-TT-SNI-DSC-19-13_18_m0019.tiff,vault://89CDCAE84AA316FE2560B504758BBCB7
PT-TT-SNI-DSC-19-13_19_m0020.tiff,vault://1FC2ECB2975C8AE528625C3638F23DAE
PT-TT-SNI-DSC-19-13_1_m0002.tiff,vault://0E8AFE75AA0BDB0600FC4594406753E9
PT-TT-SNI-DSC-19-13_2_m0003.tiff,vault://519DCB3B118E4EA6ECE1B58D87452C31
PT-TT-SNI-DSC-19-13_3_m0004.tiff,vault://5498CAD8F97E5DF67E9E9495D60EBC95
PT-TT-SNI-DSC-19-13_4_m0005.tiff,vault://F0A5D3CFBF71135945E5B4341AA7588E
PT-TT-SNI-DSC-19-13_5_m0006.tiff,vault://12E8558312CD3F574199E48F56000C95
PT-TT-SNI-DSC-19-13_6_m0007.tiff,vault://28617EC6A3654FC503056FB8E05254AB
PT-TT-SNI-DSC-19-13_7_m0008.tiff,vault://EE571072924F5FE7EB97C6AEB469FCF2
PT-TT-SNI-DSC-19-13_8_m0009.tiff,vault://E1865F639542CDE7DE7955C983709E3A
PT-TT-SNI-DSC-19-13_9_m0010.tiff,vault://020921255395F0E84784F1C7D1C7F796
PT-TT-SNI-DSC-19-13_{-1}_m0001.tiff,vault://EDF04614E17ED6DCE37E5E1E429A5378
PT-TT-SNI-DSC-19-13_{20}_m0021.tiff,vault://85D59B520F1D2A9C2776AD9EA5CDAF72
PT-TT-SNI-DSC-19-81_m0010.TIF,vault://DISSEMINATION/0AE5A3D4379645601A60D7933859D427
PT-TT-SNI-DSC-19-81_m0011.TIF,vault://DISSEMINATION/D7FBE2AE937131F2D87F667CF196C50C
PT-TT-SNI-DSC-19-81_m0012.TIF,vault://DISSEMINATION/DCC97CDDB7B2291641BBA71B5ED9EBF8
PT-TT-SNI-DSC-19-81_m0013.TIF,vault://DISSEMINATION/1AE8CE930808A6CA09AB1671BA782A54
PT-TT-SNI-DSC-19-81_m0014.TIF,vault://DISSEMINATION/1A0E39F86FB9EC2EF9335E3DC530A164
PT-TT-SNI-DSC-19-81_m0015.TIF,vault://DISSEMINATION/E70EE5605CD017C9773A1076EB0FADE8
PT-TT-SNI-DSC-19-81_m0016.TIF,vault://DISSEMINATION/27DE5BD34F2F6A2025E727410DDDC3A6
PT-TT-SNI-DSC-19-81_m0017.TIF,vault://DISSEMINATION/419CA98F2AB26A262F6BC24E6809B22E
PT-TT-SNI-DSC-19-81_m0018.TIF,vault://DISSEMINATION/84291965937158C505DBF8C88D2E2ABD
PT-TT-SNI-DSC-19-81_m0019.TIF,vault://DISSEMINATION/469DC7B54ABA7638D6B505E1C5A6F935
PT-TT-SNI-DSC-19-81_m0020.TIF,vault://DISSEMINATION/047BC74AAEE33D15F9E8D98415BD6B3D
PT-TT-SNI-DSC-19-81_m0001.TIF,vault://DISSEMINATION/AB435F9969604B71C9D93363C4E86036
PT-TT-SNI-DSC-19-81_m0002.TIF,vault://DISSEMINATION/EABECD0530A757FDA98DF24A2A321441
PT-TT-SNI-DSC-19-81_m0003.TIF,vault://DISSEMINATION/BE0187854FFAFDAA02E14AE591747391
PT-TT-SNI-DSC-19-81_m0004.TIF,vault://DISSEMINATION/51DB0EB4CA519540D3998E9CD248496A
PT-TT-SNI-DSC-19-81_m0005.TIF,vault://DISSEMINATION/EEC68E39F451BA61716DD04F13C7714C
PT-TT-SNI-DSC-19-81_m0006.TIF,vault://DISSEMINATION/07E2E71F1BD71E7580385035F029BADB
PT-TT-SNI-DSC-19-81_m0007.TIF,vault://DISSEMINATION/DA6FFBF91E2767AA035A123541E4282D
PT-TT-SNI-DSC-19-81_m0008.TIF,vault://DISSEMINATION/B37BB47A708DCA8A0D7EC4388DCD134C
PT-TT-SNI-DSC-19-81_m0009.TIF,vault://DISSEMINATION/9CCF6A2B96119CB2BF7BB2A3239A0822
