Name,DisseminationURL
PT-TT-SNI-DSC-13-812-A-2-12_m0001.TIF,vault://B8BBD0CA6912D9CAD0486BE41A8DB4F3
PT-TT-SNI-DSC-13-812-A-2-12_m0002.TIF,vault://E5B5EAA5AC82903AA99A584F6C730270
PT-TT-SNI-DSC-13-812-A-2-12_m0003.TIF,vault://872EE37D35BACF92F8BC2360CEC85064
PT-TT-SNI-DSC-13-812-A-2-12_m0004.TIF,vault://7D79A423A6DF60FF1B7829FBCF3AA65C
PT-TT-SNI-DSC-13-812-A-2-12_m0005.TIF,vault://6DB1BC05C334133C86811E51BEB97CC1
PT-TT-SNI-DSC-13-812-A-2-12_m0006.TIF,vault://55BE11010D9E58AF73C7937C9977C099
PT-TT-SNI-DSC-13-812-A-2-12_m0007.TIF,vault://0DCC6CB0637B97A59E5ACE73FBB7D2CF
PT-TT-SNI-DSC-13-812-A-2-12_m0008.TIF,vault://B0040D217280E04AE7C8CD98B74BD78E
PT-TT-SNI-DSC-13-8_m0360.TIF,vault://DISSEMINATION/F0CFDC6F72F8D2F970702BFFBB2201D2
PT-TT-SNI-DSC-13-8_m0361.TIF,vault://DISSEMINATION/6E6D585FF46986D1BFF53B735FD7D7C4
PT-TT-SNI-DSC-13-8_m0362.TIF,vault://DISSEMINATION/45B6A006DEEE5C3B4C47D7A62567A4B3
PT-TT-SNI-DSC-13-8_m0363.TIF,vault://DISSEMINATION/3326B486AB2FE8080DBD279C41AFBA61
PT-TT-SNI-DSC-13-8_m0364.TIF,vault://DISSEMINATION/EAC6ED605621EEC6EDD90BEEA541CEB2
PT-TT-SNI-DSC-13-8_m0365.TIF,vault://DISSEMINATION/8E33CBE88901B2DE56499BA07EF88791
PT-TT-SNI-DSC-13-8_m0366.TIF,vault://DISSEMINATION/BBB0BB4137BAC4322277E2246BFB1390
PT-TT-SNI-DSC-13-8_m0367.TIF,vault://DISSEMINATION/91A581198DB46DA4341839E203E0F14C
PT-TT-SNI-DSC-13-8_m0368.TIF,vault://DISSEMINATION/560834A73EBC645E3D09F2F30059BFA4
PT-TT-SNI-DSC-13-8_m0369.TIF,vault://DISSEMINATION/FCB0BF93B548B22357F48B2F18FD3E88
PT-TT-SNI-DSC-13-8_m0370.TIF,vault://DISSEMINATION/0CF6C5DB46C55F302515393D67DE407C
