file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-13-10_m0321,91.08,90.44,89.26,91.19,85.93,90.44,87.65,55.1,91.08,91.08,91.08,52.52,86.9,90.98,91.08
PT-TT-SNI-DSC-13-10_m0322,64.75,50.0,61.34,65.22,65.53,65.84,67.08,57.14,64.75,64.75,64.75,62.89,55.75,66.77,64.75
PT-TT-SNI-DSC-13-10_m0323,71.83,76.65,52.93,70.6,71.93,75.14,70.42,73.06,71.83,71.83,71.83,65.88,79.68,73.16,71.83
PT-TT-SNI-DSC-13-10_m0372,90.7,90.54,89.28,90.62,77.47,88.11,87.52,56.7,90.7,90.7,90.7,53.85,86.18,89.87,90.7
PT-TT-SNI-DSC-13-10_m0374,81.04,78.88,77.7,80.26,79.08,80.16,79.08,63.26,81.04,81.04,81.04,75.15,79.08,72.0,81.04
PT-TT-SNI-DSC-13-10_m0375,80.4,80.77,83.73,80.47,82.17,79.96,80.84,80.99,80.4,80.4,80.4,78.03,80.4,81.29,80.4
PT-TT-SNI-DSC-13-10_m0376,92.61,92.69,92.69,92.69,91.92,92.3,92.76,88.38,92.61,92.61,92.61,88.22,92.61,92.61,92.61
PT-TT-SNI-DSC-13-10_m0377,92.53,92.67,92.53,92.53,92.46,92.6,92.53,88.9,92.53,92.53,92.53,90.29,92.53,92.6,92.53
PT-TT-SNI-DSC-13-10_m0379,90.29,92.28,92.78,90.95,91.45,80.33,91.54,90.04,90.29,90.29,90.29,88.63,90.29,86.14,90.29
PT-TT-SNI-DSC-13-10_m0380,92.21,92.67,92.98,92.06,90.99,91.6,92.06,80.61,92.21,92.21,92.21,85.34,87.02,92.52,92.21
PT-TT-SNI-DSC-13-10_m0416,89.03,89.3,89.71,88.89,88.89,88.89,88.75,59.95,89.03,89.03,89.03,46.64,82.3,89.71,89.03
PT-TT-SNI-DSC-13-10_m0419,88.7,89.08,86.02,89.08,84.29,86.97,87.55,71.26,88.7,88.7,88.7,80.46,75.86,86.02,88.7
PT-TT-SNI-DSC-13-10_m0420,28.0,19.29,19.86,57.86,77.71,45.57,26.86,66.71,28.0,28.0,28.0,72.86,78.57,78.71,28.0
PT-TT-SNI-DSC-13-10_m0461,68.64,66.01,69.68,76.55,75.14,65.25,67.61,73.26,68.64,68.64,68.64,67.8,73.63,74.67,68.64
PT-TT-SNI-DSC-13-10_m0462,89.1,89.26,89.01,89.18,85.71,84.28,87.66,55.87,89.1,89.1,89.1,32.12,82.84,88.93,89.1
PT-TT-SNI-DSC-13-10_m0484,84.03,89.18,81.39,83.71,85.32,84.55,85.13,78.36,84.03,84.03,84.03,80.3,88.54,81.33,84.03
PT-TT-SNI-DSC-13-10_m0487,71.42,72.13,67.62,73.24,77.43,62.71,71.65,66.27,71.42,71.42,71.42,66.9,71.42,68.49,71.42
PT-TT-SNI-DSC-13-10_m0489,35.09,6.05,7.12,57.44,84.77,82.28,32.67,63.63,35.09,35.09,35.09,65.27,82.99,85.27,35.09
PT-TT-SNI-DSC-13-10_m0491,51.53,36.71,22.0,52.0,61.41,51.65,46.82,67.53,51.53,51.53,51.53,66.94,48.12,65.53,51.53
PT-TT-SNI-DSC-13-10_m0548,79.75,75.64,73.97,79.75,80.92,82.58,80.72,75.44,79.75,79.75,79.75,71.04,79.26,83.46,79.75
PT-TT-SNI-DSC-19-13_2_m0003,84.5,39.5,26.83,84.33,65.0,69.67,81.67,85.17,84.5,84.5,84.5,77.5,67.67,64.67,84.5
PT-TT-SNI-DSC-19-13_3_m0004,76.84,78.11,77.26,77.97,74.58,76.41,75.42,68.79,76.84,76.84,76.84,67.66,66.53,75.99,76.84
PT-TT-SNI-DSC-24-203_m0007,68.73,59.05,58.2,69.33,63.55,64.06,66.95,29.4,68.73,68.73,68.73,34.49,65.25,58.62,68.73
PT-TT-SNI-DSC-35-6-9242_m0676,73.23,75.28,79.84,72.44,74.02,74.65,73.23,75.12,73.23,73.23,73.23,64.09,74.33,73.54,73.23
PT-TT-SNI-DSC-35-8-9363_m0539,30.33,6.09,10.0,46.96,72.39,20.33,28.59,73.04,30.33,30.33,30.33,35.87,68.48,44.67,30.33
PT-TT-SNI-DSC-35-8-9368_m0548,88.3,88.3,85.96,88.91,86.37,89.11,89.01,78.74,88.3,88.3,88.3,66.02,87.39,89.22,88.3
PT-TT-SNI-DSC-9-73_m0003,94.89,93.75,94.62,94.89,94.02,57.12,92.47,69.83,94.89,94.89,94.89,68.95,94.49,94.69,94.89
PT-TT-SNI-DSC-9-73_m0004,92.25,92.25,92.25,92.55,87.84,55.4,88.91,48.86,92.25,92.25,92.25,73.86,92.71,93.54,92.25
PT-TT-SNI-DSC-9-73_m0006,76.65,76.65,65.99,71.07,70.56,53.81,65.48,0.51,76.65,76.65,76.65,39.09,69.04,76.65,76.65
PT-TT-SNI-DSC-9-73_m0007,70.09,68.52,67.13,70.78,69.22,66.61,68.35,63.3,70.09,70.09,70.09,34.78,71.65,71.48,70.09
PT-TT-SNI-DSC-9-73_m0021,88.18,86.26,88.18,88.18,86.9,0.32,80.83,46.33,88.18,88.18,88.18,75.08,66.45,88.5,88.18
PT-TT-SNI-DSC-9-857_m0002,46.68,47.93,39.63,30.5,92.32,32.37,43.78,0.21,46.68,46.68,46.68,74.27,77.8,92.32,46.68
PT-TT-SNI-DSC-9-857_m0004,89.25,87.18,84.4,89.6,84.58,89.95,85.1,79.55,89.25,89.25,89.25,78.34,82.5,86.14,89.25
PT-TT-SNI-DSC-9-857_m0005,87.19,89.98,90.77,90.19,90.34,87.83,86.83,84.11,87.19,87.19,87.19,70.79,89.98,90.98,87.19
PT-TT-SNI-DSC-9-857_m0006,88.87,89.42,89.24,88.68,89.24,89.05,87.76,67.72,88.87,88.87,88.87,77.55,89.05,89.42,88.87
PT-TT-SNI-DSC-9-857_m0007,86.17,84.75,84.75,88.12,86.17,84.93,85.64,76.24,86.17,86.17,86.17,67.73,83.87,84.75,86.17
PT-TT-SNI-DSC-9-857_m0008,92.53,93.93,92.88,92.77,93.0,92.77,91.37,86.81,92.53,92.53,92.53,86.7,93.23,91.48,92.53
PT-TT-SNI-DSC-9-857_m0009,90.63,94.12,89.32,92.81,94.12,78.43,91.5,84.97,90.63,90.63,90.63,76.91,31.59,91.5,90.63
PT-TT-SNI-DSC-9-857_m0010,91.58,91.89,91.73,91.73,90.33,91.11,91.26,66.93,91.58,91.58,91.58,75.66,91.73,92.04,91.58
PT-TT-SNI-DSC-9-857_m0013,81.73,75.95,82.46,83.18,41.8,82.87,81.42,0.1,81.73,81.73,81.73,57.17,82.87,66.67,81.73
PT-TT-SNI-DSC-9-857_m0021,85.86,86.9,85.45,86.49,81.7,83.58,79.63,53.85,85.86,85.86,85.86,56.55,74.84,86.07,85.86
PT-TT-SNI-DSC-9-857_m0022,10.03,13.48,14.77,13.72,85.23,14.61,9.07,84.75,10.03,10.03,10.03,85.15,36.44,78.41,10.03
PT-TT-SNI-DSC-9-857_m0023,60.15,56.92,48.46,63.0,54.69,59.31,56.77,43.15,60.15,60.15,60.15,50.92,59.31,58.69,60.15
PT-TT-SNI-DSC-9-857_m0024,51.19,32.14,49.29,49.76,46.43,51.19,44.05,76.43,51.19,51.19,51.19,79.29,57.62,55.24,51.19
