file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-4-2896_m0582,63.81,64.42,13.1,65.02,49.04,53.2,58.1,64.36,63.81,63.81,63.81,63.81,24.55,66.34,61.24,63.81
PT-TT-SNI-DSC-35-4-3089_m0737,15.69,14.74,6.12,17.82,13.86,16.36,15.84,15.69,15.69,15.69,15.69,15.69,5.45,17.65,13.73,15.69
PT-TT-SNI-DSC-35-4-3165_m0812,65.87,66.14,31.8,65.86,62.35,67.47,60.32,68.8,65.87,65.87,65.87,65.87,32.31,65.87,66.93,65.87
PT-TT-SNI-DSC-35-4-3858_m0904,35.82,39.39,15.38,30.99,35.82,42.11,33.33,41.94,35.82,35.82,35.82,35.82,29.41,31.58,38.71,35.82
PT-TT-SNI-DSC-35-4-3926_m0972,62.07,63.95,3.92,61.27,50.0,59.52,61.27,59.88,62.07,62.07,62.07,62.07,30.94,62.07,62.15,62.07
PT-TT-SNI-DSC-35-5-4347_m0076,72.06,62.68,25.53,72.24,60.14,71.79,68.13,71.54,72.06,72.06,72.06,72.06,3.48,74.05,72.06,72.06
PT-TT-SNI-DSC-35-5-4347_m0077,71.15,72.55,34.0,71.15,63.46,67.96,66.67,71.84,71.15,71.15,71.15,71.15,18.0,65.35,71.15,71.15
PT-TT-SNI-DSC-35-5-4581_m0288,53.33,11.11,0.0,38.85,58.6,19.05,60.0,7.23,53.33,53.33,53.33,53.33,16.67,52.35,52.83,53.33
PT-TT-SNI-DSC-35-5-4666_m0370,58.44,51.66,9.2,59.15,52.17,60.0,55.48,33.9,58.44,58.44,58.44,58.44,15.95,61.04,52.76,58.44
PT-TT-SNI-DSC-35-5-4683_m0384,52.38,50.6,3.77,44.94,42.7,47.73,42.35,50.57,52.38,52.38,52.38,52.38,18.18,47.06,46.15,52.38
