file,bilateral_filtering
PT-TT-SNI-DSC-35-7-7520_m0266,62.05
PT-TT-SNI-DSC-35-7-7549_m0289,81.7
PT-TT-SNI-DSC-35-7-7549_m0290,77.22
PT-TT-SNI-DSC-35-7-7694_m0398,77.14
PT-TT-SNI-DSC-35-7-7726_m0433,91.03
PT-TT-SNI-DSC-35-7-7792_m0494,88.36
PT-TT-SNI-DSC-35-7-7818_m0518,81.59
PT-TT-SNI-DSC-35-7-7843_m0543,87.74
PT-TT-SNI-DSC-35-7-7872_m0573,81.17
PT-TT-SNI-DSC-35-7-7968_m0665,85.89
PT-TT-SNI-DSC-35-7-7968_m0666,76.83
PT-TT-SNI-DSC-35-7-8032_m0720,75.0
PT-TT-SNI-DSC-35-7-8102_m0784,77.78
PT-TT-SNI-DSC-35-7-8105_m0787,88.26
PT-TT-SNI-DSC-35-7-8150_m0825,86.92
PT-TT-SNI-DSC-35-7-8197_m0866,87.29
PT-TT-SNI-DSC-35-7-8197_m0867,74.59
PT-TT-SNI-DSC-35-7-8252_m0900,74.41
PT-TT-SNI-DSC-35-7-8268_m0914,82.9
PT-TT-SNI-DSC-35-7-8341_m0976,83.93
PT-TT-SNI-DSC-35-7-8360_m0998,27.24
PT-TT-SNI-DSC-35-7-8361_m0999,76.75
PT-TT-SNI-DSC-35-7-8361_m1000,76.53
PT-TT-SNI-DSC-35-7-8405_m1048,68.36
PT-TT-SNI-DSC-35-7-8409_m1052,72.16
PT-TT-SNI-DSC-35-7-8480_m1121,71.33
PT-TT-SNI-DSC-35-7-8510_m1158,64.71
PT-TT-SNI-DSC-35-7-8518_m1169,69.84
PT-TT-SNI-DSC-35-7-8658_m1303,85.89
PT-TT-SNI-DSC-35-7-8658_m1304,77.6
PT-TT-SNI-DSC-35-7-8658_m1305,85.23
PT-TT-SNI-DSC-35-7-8687_m1338,81.23
PT-TT-SNI-DSC-35-8-231_m0084,78.58
PT-TT-SNI-DSC-35-8-270_m0112,60.91
PT-TT-SNI-DSC-35-8-4007_m0214,70.99
PT-TT-SNI-DSC-35-8-4012_m0219,89.19
PT-TT-SNI-DSC-35-8-4013_m0220,80.37
PT-TT-SNI-DSC-35-8-4115_m0294,61.89
PT-TT-SNI-DSC-35-8-4124_m0303,83.43
PT-TT-SNI-DSC-35-8-4201_m0374,73.31
PT-TT-SNI-DSC-35-8-4202_m0375,68.07
PT-TT-SNI-DSC-35-8-4203_m0376,66.87
PT-TT-SNI-DSC-35-8-4228_m0405,72.99
PT-TT-SNI-DSC-35-8-4229_m0406,77.65
PT-TT-SNI-DSC-35-8-9303_m0451,91.66
PT-TT-SNI-DSC-35-8-9303_m0452,76.69
PT-TT-SNI-DSC-35-8-9320_m0475,64.16
PT-TT-SNI-DSC-9-84_m0123,70.19
PT-TT-SNI-DGE-1-1068_m0001,12.85
PT-TT-SNI-DGE-1-1068_m0003,27.93
PT-TT-SNI-DGE-1-1549_m0001,0.0
PT-TT-SNI-DGE-1-1549_m0008,67.62
PT-TT-SNI-DGE-1-2057_m0001,0.0
PT-TT-SNI-DGE-1-2057_m0002,65.69
PT-TT-SNI-DGE-1-2862_m0002,0.0
PT-TT-SNI-DGE-1-3764_m0012,0.0
PT-TT-SNI-DGE-1-4370_m0001,0.0
PT-TT-SNI-DGE-1-4370_m0004,0.0
PT-TT-SNI-DGE-1-4605_m0006,20.56
PT-TT-SNI-DGE-1-4653_m0002,0.0
PT-TT-SNI-DGE-1-4998_m0008,0.0
PT-TT-SNI-DGE-1-5107_m0001,0.0
PT-TT-SNI-DGE-1-5527_m0001,54.22
PT-TT-SNI-DGE-1-5964_m0007,0.0
PT-TT-SNI-DGE-1-601-A_m0003,18.18
PT-TT-SNI-DGE-1-601-A_m0020,56.47
PT-TT-SNI-DGE-1-6109_m0001,20.0
PT-TT-SNI-DGE-1-618_m0001,23.31
PT-TT-SNI-DGE-1-6745_m0014,0.88
PT-TT-SNI-DGE-1-7208_m0014,64.35
PT-TT-SNI-DGE-1-7251_m0002,19.47
PT-TT-SNI-DGE-1-742_m0001,0.0
PT-TT-SNI-DGE-1-7968_m0001,9.92
PT-TT-SNI-DGE-1-7968_m0007,8.08
PT-TT-SNI-DGE-1-8273_m0001,3.7
PT-TT-SNI-DGE-1-8273_m0002,37.99
PT-TT-SNI-DGE-1-8678_m0006,2.44
PT-TT-SNI-DGE-1-8692_m0006,60.82
PT-TT-SNI-DSC-35-1-1623A_m0105,54.61
PT-TT-SNI-DSC-35-1-1623_m0104,61.07
PT-TT-SNI-DSC-35-1-1649_m0131,74.76
PT-TT-SNI-DSC-35-1-1703_m0185,80.92
PT-TT-SNI-DSC-35-1-1804_m0284,61.7
PT-TT-SNI-DSC-35-1-1950_m0436,81.78
PT-TT-SNI-DSC-35-1-1955_m0441,86.89
PT-TT-SNI-DSC-35-1-1955_m0442,84.8
PT-TT-SNI-DSC-35-1-1985_m0471,85.46
PT-TT-SNI-DSC-35-1-2039_m0525,2.63
PT-TT-SNI-DSC-35-1-2043_m0529,76.83
PT-TT-SNI-DSC-35-1-2076_m0565,92.17
PT-TT-SNI-DSC-35-1-2082_m0571,71.56
PT-TT-SNI-DSC-35-1-2086_m0575,70.93
PT-TT-SNI-DSC-35-3-1052_m0799,12.0
PT-TT-SNI-DSC-35-3-113_m0041,86.94
PT-TT-SNI-DSC-35-3-1260_m0995,81.93
PT-TT-SNI-DSC-35-3-1278_m1012,86.51
PT-TT-SNI-DSC-35-3-1280_m1014,84.93
PT-TT-SNI-DSC-35-3-1337B_m1071,3.02
PT-TT-SNI-DSC-35-3-133_m0060,57.31
PT-TT-SNI-DSC-35-3-1361_m1095,88.57
PT-TT-SNI-DSC-35-3-1381_m1115,61.19
PT-TT-SNI-DSC-35-3-1382_m1116,63.1
PT-TT-SNI-DSC-35-3-1387_m1121,70.42
PT-TT-SNI-DSC-35-3-1412_m1144,69.01
PT-TT-SNI-DSC-35-3-1412_m1145,84.44
PT-TT-SNI-DSC-35-3-1432_m1163,31.11
PT-TT-SNI-DSC-35-3-166_m0087,88.85
PT-TT-SNI-DSC-35-3-399_m0168,85.12
PT-TT-SNI-DSC-35-3-463_m0231,79.44
PT-TT-SNI-DSC-35-3-572_m0329,87.5
PT-TT-SNI-DSC-35-3-578_m0335,90.27
PT-TT-SNI-DSC-35-3-590_m0346,84.27
PT-TT-SNI-DSC-35-3-591_m0347,89.71
PT-TT-SNI-DSC-35-3-591_m0348,91.07
PT-TT-SNI-DSC-35-3-605_m0362,86.59
PT-TT-SNI-DSC-35-3-607_m0364,40.58
PT-TT-SNI-DSC-35-3-616_m0373,85.33
PT-TT-SNI-DSC-35-3-667_m0421,86.2
PT-TT-SNI-DSC-35-3-731_m0485,23.79
PT-TT-SNI-DSC-35-3-80_m0011,13.57
PT-TT-SNI-DSC-35-3-869_m0625,12.75
PT-TT-SNI-DSC-35-3-882_m0636,62.82
PT-TT-SNI-DSC-35-3-920_m0668,78.89
PT-TT-SNI-DSC-35-3-969_m0715,77.67
PT-TT-SNI-DSC-35-3-988_m0733,9.74
PT-TT-SNI-DSC-35-8-273_m0115,97.37
PT-TT-SNI-DSC-35-8-278_m0120,72.32
