classification,kernel,iterations,borderType,edit_distance,bag_of_words,exec_time
theatre_covers,30,2,1,169.6,9.17,6643.87
unstructured_reports,38,1,1,81.14,29.86,26577.7
process_covers,229,7,2,89.27,13.9,13141.47
letters,6,10,4,209.17,61.25,96489.86
structured_reports,139,9,3,161.13,38.72,123160.06
