classification,kernel,iterations,borderType,edit_distance,bag_of_words,exec_time
theatre_covers,1,4,2,183.5,8.5,3742.37
unstructured_reports,1,3,3,109.69,26.41,2742.0
process_covers,1,4,0,95.8,14.43,3079.76
structured_reports,1,9,1,160.46,39.07,39249.52
letters,1,2,1,222.49,57.89,20836.49
