file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,adaptive_threshold0,adaptive_threshold1
PT-TT-SNI-DGE-1-3919_m0118,46.43,28.57,20.51,53.06,35.56,37.5,40.0,0.0,36.36,7.14,34.78,17.14,17.78,0.0,15.38,0.0,0.0
PT-TT-SNI-DGE-1-3919_m0119,41.51,15.38,19.05,19.05,5.88,23.53,30.51,0.0,40.68,5.56,38.6,0.0,31.58,0.0,38.6,0.0,0.0
PT-TT-SNI-DGE-1-3919_m0120,52.63,31.25,30.3,34.29,41.18,43.24,42.11,0.0,30.77,0.0,43.75,22.22,36.36,0.0,32.26,0.0,0.0
PT-TT-SNI-DGE-1-4097_m0001,0.0,0.0,6.9,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12,0.0,0.0
PT-TT-SNI-DGE-1-4097_m0002,36.36,0.0,10.53,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.18,0.0,0.0,0.0,26.09,0.0,0.0
PT-TT-SNI-DGE-1-5107_m0002,21.43,36.36,41.18,30.3,25.0,30.3,21.43,16.0,16.0,0.0,16.0,10.0,14.81,0.0,27.78,0.0,0.0
PT-TT-SNI-DGE-1-5107_m0003,36.36,36.36,36.36,15.38,36.36,36.36,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DGE-1-5527_m0005,16.0,29.63,47.06,30.3,37.5,48.48,16.0,12.12,16.0,0.0,16.0,8.33,14.81,0.0,35.0,0.0,0.0
PT-TT-SNI-DGE-1-5527_m0006,36.36,36.36,36.36,15.38,36.36,16.67,36.36,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DGE-1-5583_m0002,38.81,34.21,29.33,30.14,49.35,13.56,34.78,7.27,4.35,0.0,4.26,0.0,0.0,0.0,3.7,0.0,0.0
PT-TT-SNI-DGE-1-5583_m0003,55.7,42.11,50.0,45.57,58.23,18.52,53.85,8.33,8.89,0.0,33.85,0.0,0.0,0.0,21.43,0.0,0.0
PT-TT-SNI-DGE-1-5964_m0003,19.35,18.75,18.75,14.29,19.35,38.89,19.35,6.67,14.29,0.0,0.0,0.0,5.88,0.0,9.52,0.0,0.0
PT-TT-SNI-DGE-1-5964_m0004,36.36,0.0,18.18,15.38,36.36,36.36,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0
PT-TT-SNI-DGE-1-7208_m0004,62.22,7.79,18.18,7.89,7.89,49.64,43.17,24.39,40.91,0.0,26.23,5.71,28.32,1.57,48.92,0.0,0.0
PT-TT-SNI-DGE-1-7208_m0005,50.66,35.02,48.67,39.13,34.86,47.32,45.13,12.63,15.58,0.0,36.44,1.83,7.41,3.76,40.0,3.31,0.0
PT-TT-SNI-DGE-1-7208_m0012,36.36,36.36,36.36,33.33,36.36,36.36,36.36,20.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0
PT-TT-SNI-DGE-1-7325_m0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
